BLG103_8_32155   17 55 57.43 -30 22 31.1 3 OGLE-2002-BLG-181   1387  1.18109 2452509.83066  0.408761  67.542009  0.00000  0.00000       0 17.151 17.587 16.575 N 0.004816 0.002123 0.005624 m
BLG104_1_112618  18 00 21.86 -29 42 17.5 3 OGLE-2006-BLG-382   1241  1.08461 2453942.26667  0.434796  27.263130  0.00000  0.00000       0 18.451 18.394 15.669 N 0.003923 0.001102 0.002812 m
BLG104_1_46302   18 00 13.39 -29 45 48.9 3 OGLE-2006-BLG-529   1291  1.53497 2454016.47899  0.145416  26.625223  0.00000  0.00000       0 18.256 18.463 15.745 f 0.004108 0.001415 0.000925 m
BLG104_2_145272  17 59 48.47 -29 32 03.2 3 OGLE-2006-BLG-324   1300  1.28374 2453916.08730  0.648695   7.795356  0.00000  0.00000       0 15.300 15.331 15.841 f 0.047671 0.019030 0.015069 m
BLG104_3_150480  17 59 42.70 -29 22 30.7 3 OGLE-2006-BLG-003   1302  1.30851 2453795.17484  1.245724  24.254962  0.00000  0.00000       0 16.521 16.518 15.940 f 0.008670 0.001469 0.007700 m
BLG104_3_150542  17 59 45.71 -29 23 31.1 3 OGLE-2008-BLG-378   1300  1.60745 2454658.59465  0.328805  13.849057  0.00000  0.00000       0 15.918 15.912 15.788 N 0.021767 0.006946 0.012387 m
BLG104_4_17594   17 59 23.86 -29 17 28.4 3 OGLE-2003-BLG-331   1300  1.09262 2452864.81133  0.476376   8.978733  0.00000  0.00000       0 15.857 15.910 15.647 f 0.030734 0.008080 0.009118 m
BLG104_5_23863   17 58 19.10 -29 17 50.2 3 OGLE-2008-BLG-041   1297  1.15527 2454528.46260  0.071211  34.078116  0.00000  0.00000       0 18.368 18.998 15.698 N 0.002406 0.000631 0.000657 m
BLG104_7_156463  17 58 28.69 -29 32 32.1 3 OGLE-2002-BLG-130   1301  1.14337 2452432.97262  0.870781  12.265252  0.00000  0.00000       0 16.534 16.532 15.553 N 0.018141 0.006776 0.010830 m
BLG104_7_157693  17 58 29.56 -29 30 54.3 3 OGLE-2006-BLG-366   1303  1.20138 2454009.01989  0.192801  81.799190  0.00000  0.00000       0 18.241 18.340 15.706 f 0.002306 0.001060 0.000932 m
BLG104_7_224128  17 58 37.16 -29 29 10.7 3 -                   1299  1.17166 2452168.28489  0.064071  48.117073  0.00000  0.00000       0 18.524 18.602 15.741 f 0.002758 0.001518 0.003038 m
BLG104_8_229262  17 58 42.30 -29 37 59.0 3 OGLE-2005-BLG-259   1284  1.32331 2453596.99007  0.167648  39.491680  0.00000  0.00000       0 14.161 14.160 15.566 N 0.022070 0.006115 0.017037 m
BLG104_8_237189  17 58 52.10 -29 39 17.1 3 OGLE-2006-BLG-188   1298  1.24009 2453875.48472  0.421014  19.392677  0.00000  0.00000       0 17.653 17.627 15.626 N 0.009211 0.005025 0.003668 m
